2026-05-09 01:54:35 | WARNING  | backend.api | get_project_pdf | PDF not found for project_id=1 at path=/app/data/uploads/project_1.pdf
2026-05-09 01:54:36 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:54:36 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=False
2026-05-09 01:54:36 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:41 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:54:41 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=False
2026-05-09 01:54:41 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:43 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:54:43 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=False
2026-05-09 01:54:43 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:43 | INFO     | backend.api | process_project | Processing started: project_id=1, filename='synth-switch_v5-4.pdf', content_type='application/pdf'
2026-05-09 01:54:43 | DEBUG    | backend.api | process_project | File read into memory: 271239 bytes
2026-05-09 01:54:43 | DEBUG    | backend.api | process_project | PDF saved to disk: /app/data/uploads/project_1.pdf
2026-05-09 01:54:43 | DEBUG    | backend.services | run_pipeline | Pipeline env URLs — OCR: http://ocr:8001/process | Extractor: http://extractor:8002/extract | Validator: http://validator:8003/validate
2026-05-09 01:54:43 | INFO     | backend.services | run_pipeline | Step 1/3 — Calling OCR service for file='synth-switch_v5-4.pdf' (271239 bytes)
2026-05-09 01:54:47 | INFO     | backend.services | run_pipeline | OCR completed in 4.15s — extracted 1828 characters.
2026-05-09 01:54:47 | INFO     | backend.services | run_pipeline | Step 2/3 — Calling Extractor service.
2026-05-09 01:54:47 | INFO     | backend.services | run_pipeline | Extractor completed in 0.05s — format='Switch Invoice'.
2026-05-09 01:54:47 | INFO     | backend.services | run_pipeline | Step 3/3 — Calling Validator service.
2026-05-09 01:54:47 | INFO     | backend.services | run_pipeline | Validator completed in 0.03s — is_valid=True.
2026-05-09 01:54:47 | INFO     | backend.services | run_pipeline | Pipeline finished successfully for file='synth-switch_v5-4.pdf'.
2026-05-09 01:54:47 | INFO     | backend.api | process_project | Pipeline completed for project_id=1 in 4.26s
2026-05-09 01:54:47 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:48 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:54:48 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=True
2026-05-09 01:54:48 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:55:27 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:55:27 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:55:27 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:55:31 | INFO     | backend.api | create_project | Creating project name='fwe' for user_id=1
2026-05-09 01:55:31 | INFO     | backend.api | create_project | Project created: id=2, name='fwe', owner_id=1
2026-05-09 01:55:31 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:55:31 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:55:31 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:55:31 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:55:35 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:55:35 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:55:35 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:55:35 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:55:35 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:55:35 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:55:35 | DEBUG    | backend.api | get_project_pdf | PDF requested for project_id=2, path=/app/data/uploads/project_2.pdf
2026-05-09 01:55:35 | WARNING  | backend.api | get_project_pdf | PDF not found for project_id=2 at path=/app/data/uploads/project_2.pdf
2026-05-09 01:55:36 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:55:36 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:55:36 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:55:41 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:55:41 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:55:41 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:55:42 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:55:42 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=False
2026-05-09 01:55:42 | DEBUG    | backend.database | get_db | Database session closed.
