2026-05-09 01:55:40 | DEBUG    | __main__ | <module> | User='admin' opened project_id=2 — rendering project view.
2026-05-09 01:55:41 | DEBUG    | views.project | project_view | Rendering project view for project_id=2.
2026-05-09 01:55:42 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:55:42 | DEBUG    | __main__ | <module> | User='admin' opened project_id=2 — rendering project view.
2026-05-09 01:55:42 | DEBUG    | views.project | project_view | Rendering project view for project_id=2.
2026-05-09 01:55:42 | INFO     | views.project | _upload_view | Pipeline triggered for project_id=2, file='synth-switch_v5-4.pdf' (271239 bytes).
2026-05-09 01:55:42 | INFO     | views.project | _upload_view | Pipeline successful for project_id=2.
2026-05-09 01:55:42 | INFO     | __main__ | <module> | Frontend started. Backend URL: http://backend:8000
2026-05-09 01:55:42 | DEBUG    | __main__ | <module> | User='admin' opened project_id=2 — rendering project view.
2026-05-09 01:55:43 | DEBUG    | views.project | project_view | Rendering project view for project_id=2.
2026-05-09 01:55:43 | DEBUG    | utils.pdf_renderer | display_pdf | Rendering PDF page 1 (271239 bytes).
2026-05-09 01:55:43 | DEBUG    | utils.pdf_renderer | display_pdf | Page 1 rendered: 240583 bytes PNG.
